Index,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted,K.Open,K.High,K.Low,K.Close,K.Volume,K.Adjusted,after.covid,after.war
01/07/2019,50.7925,55.342499,49.602501,53.259998,1895406800,51.745533,53.91,59.48,53.169998,58.220001,60465000,50.989746,NO,NO
01/08/2019,53.474998,54.5075,48.145,52.185001,2724326400,50.701096,60.93,65.589996,60.189999,62.799999,63425200,55.000957,NO,NO
01/09/2019,51.607498,56.605,51.055,55.9925,2170268400,54.607025,63,64.989998,62.5,64.349998,37846100,56.873367,NO,NO
01/10/2019,56.267502,62.4375,53.782501,62.189999,2433210800,60.651169,64.400002,64.699997,60.650002,63.529999,38590700,56.148636,NO,NO
01/11/2019,62.384998,67,62.290001,66.8125,1793326000,65.159286,63.470001,65.940002,63.040001,65.120003,31191600,57.553909,NO,NO
01/12/2019,66.817497,73.4925,64.072502,73.412498,2388794800,71.810928,64.919998,69.32,64.57,69.160004,30360100,61.660202,NO,NO
01/01/2020,74.059998,81.962502,73.1875,77.377502,2934370400,75.689445,69.129997,71.050003,67.379997,68.209999,35114200,60.813213,NO,NO
01/02/2020,76.074997,81.805,64.092499,68.339996,3019279200,66.849083,68.580002,69.660004,57.709999,60.470001,51064900,53.912552,YES,NO
01/03/2020,70.57,76,53.1525,63.572498,6280072400,62.333179,60.209999,70.360001,52.66,59.990002,68051800,53.4846,YES,NO
01/04/2020,61.625,73.6325,59.224998,73.449997,3265299200,72.018127,59.009998,67.889999,58.369999,65.5,48027400,58.952793,YES,NO
01/05/2020,71.5625,81.059998,71.462502,79.485001,2805936000,77.935471,65.199997,65.849998,60.720001,65.309998,42284800,58.781773,YES,NO
01/06/2020,79.4375,93.095001,79.302498,91.199997,3243375600,89.664162,65.529999,68.550003,62.720001,66.059998,58523300,59.979416,YES,NO
01/07/2020,91.279999,106.415001,89.144997,106.260002,3020283200,104.470551,66.07,72.879997,65.480003,68.989998,44562600,62.639702,YES,NO
01/08/2020,108.199997,131,107.892502,129.039993,4070061100,126.866936,69,71.139999,67.910004,70.910004,30596500,64.382996,YES,NO
